itemid,total_events,unique_visitors,first_seen,last_seen,n_addtocart,n_transaction,n_view,view_to_cart,cart_to_purchase
3,2,2,2015-08-18 18:30:40.493,2015-08-31 14:39:02.792,0,0,2,0.0,0.0
4,3,3,2015-06-30 07:03:11.545,2015-09-15 23:22:44.099,0,0,3,0.0,0.0
6,29,26,2015-05-06 20:33:13.122,2015-08-27 17:09:02.814,0,0,29,0.0,0.0
9,2,2,2015-05-13 22:53:14.505,2015-07-09 01:35:08.315,0,0,2,0.0,0.0
15,22,13,2015-05-25 21:50:41.181,2015-07-21 00:02:59.529,3,1,18,0.16666666666666666,0.3333333333333333
16,15,14,2015-05-03 16:45:07.912,2015-09-04 23:25:33.588,0,0,15,0.0,0.0
17,3,2,2015-05-08 22:01:18.548,2015-06-30 17:28:16.442,0,0,3,0.0,0.0
19,18,15,2015-05-03 21:46:12.361,2015-09-11 23:57:44.739,1,1,16,0.0625,1.0
22,2,2,2015-05-14 17:48:48.420,2015-09-09 13:09:30.057,0,0,2,0.0,0.0
24,1,1,2015-05-16 04:40:47.669,2015-05-16 04:40:47.669,0,0,1,0.0,0.0
25,64,49,2015-05-08 20:54:13.145,2015-09-12 23:38:42.334,4,2,58,0.06896551724137931,0.5
26,21,18,2015-05-16 23:40:37.742,2015-09-04 22:27:34.593,0,0,21,0.0,0.0
29,10,9,2015-05-25 13:41:07.192,2015-09-15 02:09:00.311,0,0,10,0.0,0.0
32,68,55,2015-05-03 23:40:03.282,2015-09-14 17:17:07.023,0,0,68,0.0,0.0
33,12,11,2015-05-03 04:07:50.181,2015-08-21 01:04:47.371,2,0,10,0.2,0.0
37,10,9,2015-06-27 23:43:42.544,2015-09-10 18:43:15.295,0,0,10,0.0,0.0
40,1,1,2015-06-27 21:39:52.803,2015-06-27 21:39:52.803,0,0,1,0.0,0.0
41,5,4,2015-08-11 23:45:17.450,2015-09-11 19:03:18.154,0,0,5,0.0,0.0
42,39,30,2015-05-03 23:13:04.937,2015-08-24 23:58:53.057,2,1,36,0.05555555555555555,0.5
46,5,5,2015-05-25 22:49:37.210,2015-09-02 16:37:06.699,0,0,5,0.0,0.0
47,1,1,2015-06-05 23:30:50.870,2015-06-05 23:30:50.870,0,0,1,0.0,0.0
49,1,1,2015-06-15 04:07:29.167,2015-06-15 04:07:29.167,0,0,1,0.0,0.0
54,3,2,2015-08-09 14:45:21.089,2015-08-20 19:25:08.378,0,0,3,0.0,0.0
55,23,22,2015-05-12 19:30:20.460,2015-09-10 02:51:48.771,0,0,23,0.0,0.0
56,3,3,2015-05-23 19:36:15.607,2015-09-10 16:33:33.084,0,0,3,0.0,0.0
58,1,1,2015-07-28 00:47:01.391,2015-07-28 00:47:01.391,0,0,1,0.0,0.0
59,2,2,2015-05-04 22:22:49.572,2015-05-26 14:54:43.995,0,0,2,0.0,0.0
60,2,2,2015-06-24 15:05:21.086,2015-08-30 16:13:47.751,0,0,2,0.0,0.0
61,1,1,2015-05-21 04:36:34.305,2015-05-21 04:36:34.305,0,0,1,0.0,0.0
63,3,3,2015-06-11 23:43:08.916,2015-08-05 07:33:29.935,0,0,3,0.0,0.0
65,3,3,2015-05-07 18:47:10.278,2015-07-26 17:35:34.539,0,0,3,0.0,0.0
66,24,23,2015-05-12 18:22:08.432,2015-09-01 12:48:52.353,1,0,23,0.043478260869565216,0.0
68,2,2,2015-06-08 19:24:00.356,2015-07-07 00:43:22.694,0,0,2,0.0,0.0
71,7,5,2015-05-05 22:57:54.872,2015-09-01 12:04:40.491,0,0,7,0.0,0.0
73,6,6,2015-05-04 11:15:34.996,2015-09-07 03:17:09.595,0,0,6,0.0,0.0
75,1,1,2015-07-27 09:06:51.660,2015-07-27 09:06:51.660,0,0,1,0.0,0.0
77,1,1,2015-07-04 13:26:36.317,2015-07-04 13:26:36.317,0,0,1,0.0,0.0
78,1,1,2015-06-18 21:06:10.630,2015-06-18 21:06:10.630,0,0,1,0.0,0.0
80,12,12,2015-05-03 04:37:33.317,2015-08-17 06:42:25.553,0,0,12,0.0,0.0
87,6,5,2015-05-23 22:35:26.956,2015-08-10 14:21:51.068,0,0,6,0.0,0.0
88,4,4,2015-05-06 20:42:43.276,2015-07-21 07:37:04.642,0,0,4,0.0,0.0
90,2,2,2015-06-24 03:34:55.841,2015-09-06 21:10:08.938,0,0,2,0.0,0.0
91,3,3,2015-07-23 05:21:40.606,2015-09-04 18:46:37.213,0,0,3,0.0,0.0
92,3,3,2015-06-01 17:56:54.354,2015-09-10 23:29:02.368,0,0,3,0.0,0.0
93,3,3,2015-05-19 02:56:28.599,2015-07-25 14:03:12.159,0,0,3,0.0,0.0
95,1,1,2015-05-26 15:27:48.185,2015-05-26 15:27:48.185,0,0,1,0.0,0.0
98,4,4,2015-05-16 07:42:27.337,2015-07-15 21:10:50.118,0,0,4,0.0,0.0
102,17,14,2015-05-03 05:40:36.781,2015-08-13 05:37:50.779,1,0,16,0.0625,0.0
105,3,3,2015-06-14 14:32:39.927,2015-08-12 14:19:22.368,0,0,3,0.0,0.0
106,2,1,2015-06-22 02:57:02.969,2015-06-22 03:46:12.616,0,0,2,0.0,0.0
108,12,12,2015-06-09 11:15:36.409,2015-09-16 17:17:25.597,0,0,12,0.0,0.0
111,1,1,2015-08-02 03:54:53.405,2015-08-02 03:54:53.405,0,0,1,0.0,0.0
112,3,3,2015-05-20 23:04:18.545,2015-06-04 21:43:47.142,0,0,3,0.0,0.0
117,1,1,2015-09-11 00:40:51.462,2015-09-11 00:40:51.462,0,0,1,0.0,0.0
118,4,4,2015-07-23 04:41:53.107,2015-09-15 02:52:10.529,0,0,4,0.0,0.0
119,2,2,2015-05-21 16:23:55.361,2015-06-16 15:04:35.893,0,0,2,0.0,0.0
123,1,1,2015-05-12 17:04:04.191,2015-05-12 17:04:04.191,0,0,1,0.0,0.0
